SRS308866 SRS308868 SRS308870 SRS308872 SRS308874 SRS308876 SRS308878 SRS308880 SRS308882 SRS308883 SRS308885 SRS308887
ENSG00000000003 9.80009795593418 9.77791802692724 9.91841018281874 9.09468731512156 9.16326319794243 9.0620962753316 8.88317852648502 8.75202259475213 8.80910730990836 9.0487577352313 9.07333495300338 8.85726881522225
ENSG00000000005 -0.92193159492369 -0.812147602770275 -0.904173065044191 -0.893136788270846 -0.974799421835291 -0.974786963376808 -0.97506725409327 -0.977202444769461 -0.97482988128573 -0.974917976425203 -0.97679416933614 -0.977152229544164
ENSG00000000419 8.05474664711912 8.08023888996427 8.11728046925449 8.23832304515429 8.29694800171136 8.37881804014364 8.32296815854124 8.31340736281611 8.42021578479697 8.27218651525768 8.15749613768263 8.32314457951465
ENSG00000000457 7.41420828169996 7.25526078304859 7.31168397064574 7.86931280779852 7.73882197769417 7.90681497945641 7.16328326668617 7.29619107233973 7.38316233264689 7.61723513870389 7.49005184023143 7.50063224884916
ENSG00000000460 7.57340085125248 7.70360659535176 7.72719352337997 8.07572090088692 8.28687928534413 8.07858831472669 7.05716160990735 7.43334356663319 7.63038627034551 6.90397349973948 7.34708271280803 7.6544440981846
ENSG00000000938 3.22460965268432 3.10762631941309 3.11429932996216 3.99538651983183 3.57105684464283 3.57260818666308 3.02520992407612 3.35608242764912 3.28711878574481 3.33097642690895 3.43495250840608 3.28831927690977
ENSG00000000971 4.15547547678316 3.83791635592266 3.69913104604331 3.83666176143264 3.56862561337466 3.56979262236625 4.59089838069841 4.60056442910419 4.5143812143742 4.01932566611211 3.74856629515482 3.70666915051814
ENSG00000001036 10.9195070282604 11.0108787126802 10.8938303729266 10.3734148283825 10.6296135594558 10.5886383298143 9.11919314358313 9.04790171282242 9.27661773931705 9.82491394924725 9.82614778152256 9.74791619512807
ENSG00000001084 8.49299844677137 8.72286163540384 8.60146966013405 8.42435256301529 8.2862957713121 8.12447004919153 8.00844800933337 8.01698499685461 7.98191852849052 8.1776269526884 8.18223824407971 8.13056805269213
ENSG00000001167 8.70693958733771 8.62876436871147 8.64572272167286 8.44161554438945 8.44123796149453 8.27120485139209 8.67014634220241 8.81351234944448 8.65055597444082 8.9016060703138 8.65600551235233 8.76240678306186
ENSG00000001460 6.68671186470849 6.4302661678722 6.61781864267917 7.44494147281921 7.45682736934992 7.22662741981842 7.14264746265376 6.97975519056875 6.95687984564727 7.22567926903414 7.30124160275558 7.18559900178031
ENSG00000001461 9.12850083263387 9.09163383276248 9.26099752393655 10.2592774295846 10.16929147862 10.2845456053194 9.78996541004208 9.65062916704567 9.6113530572995 10.2177080543493 9.90705684919832 9.97970861047447
ENSG00000001497 8.70597731933374 8.7521649833295 8.67667045637871 8.35419306741202 8.57340612215514 8.33875549774235 8.67144544923571 8.64261658112736 8.60944560224123 8.5692674325493 8.54141377701968 8.60638501802341
ENSG00000001561 9.14208827778424 8.99908676638289 9.19327276116521 9.23665054282497 9.2805630846741 9.14417835030034 8.66557870266318 8.66635629070294 8.6269842111712 8.67833321293249 8.61013570705561 8.37673130528603
